ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Predicted_Delay,Delay_Confidence_%
34,B,Ship,4,2,234,3,medium,M,4,3261,1,Yes,93.3
35,C,Ship,4,2,227,4,medium,F,22,2460,1,Yes,100.0
36,F,Ship,5,4,149,3,medium,F,44,1811,1,Yes,99.8
37,D,Ship,3,5,137,4,high,F,62,1477,1,Yes,99.7
38,F,Ship,2,4,181,6,medium,F,16,3605,1,Yes,100.0
39,A,Ship,5,1,215,4,low,F,56,3905,1,Yes,100.0
40,B,Ship,4,2,269,5,low,F,45,2383,1,Yes,100.0
41,C,Ship,5,1,227,2,low,M,15,3798,1,Yes,100.0
42,F,Ship,5,5,139,4,medium,M,61,1265,1,Yes,99.5
43,D,Ship,3,5,137,2,medium,M,38,1647,1,Yes,99.9
44,F,Ship,3,1,174,2,low,M,44,1556,1,Yes,99.9
45,A,Ship,3,1,151,2,low,M,29,1328,1,Yes,99.9
46,B,Ship,5,1,210,3,low,F,9,2944,1,Yes,93.7
47,C,Ship,3,4,169,4,medium,F,32,1245,1,Yes,99.7
48,F,Ship,5,1,160,2,low,M,32,1576,1,Yes,99.7
49,D,Ship,5,4,190,2,medium,M,9,3753,1,Yes,91.5
50,F,Ship,5,3,216,3,low,F,40,2146,1,Yes,100.0
51,A,Ship,4,1,183,3,low,M,37,2042,1,Yes,100.0
52,B,Ship,4,4,141,3,low,M,22,1735,1,Yes,99.8
53,C,Ship,4,3,165,3,low,F,44,1320,1,Yes,99.8
54,F,Ship,2,1,170,3,low,M,41,1128,1,Yes,99.8
55,D,Ship,4,3,203,3,high,M,12,3539,1,Yes,100.0
56,F,Ship,2,5,246,5,low,M,46,2437,1,Yes,100.0
57,A,Ship,3,3,238,3,low,F,61,3096,1,Yes,100.0
58,B,Ship,3,3,193,3,medium,F,29,3453,1,Yes,100.0
59,C,Ship,5,5,141,3,high,M,41,1367,1,Yes,99.8
60,F,Ship,4,1,150,3,high,F,17,1923,1,Yes,99.8
61,D,Ship,3,1,221,3,low,F,64,2794,1,Yes,100.0
62,F,Ship,3,3,179,3,medium,M,52,1158,1,Yes,99.9
63,A,Ship,5,1,105,6,medium,M,62,1292,1,Yes,99.5
64,B,Ship,3,1,177,3,medium,M,61,1880,1,Yes,99.9
65,C,Ship,4,5,261,2,high,M,49,3045,1,Yes,100.0
66,F,Ship,3,2,202,3,low,M,49,2881,1,Yes,100.0
67,D,Ship,3,2,109,3,medium,F,15,1710,1,Yes,99.8
68,F,Ship,3,3,158,3,low,F,6,1878,1,Yes,85.9
69,A,Ship,4,2,231,4,medium,F,6,2512,1,Yes,72.8
70,B,Ship,3,5,206,3,medium,M,39,2929,1,Yes,100.0
71,C,Ship,5,1,187,4,high,M,14,3849,1,Yes,100.0
72,F,Ship,5,5,230,2,low,F,2,2229,1,Yes,92.2
73,D,Ship,5,5,232,3,medium,F,33,2998,1,Yes,100.0
74,F,Ship,4,5,215,3,medium,F,21,3984,1,Yes,100.0
75,A,Ship,6,1,238,6,low,F,13,2442,1,Yes,100.0
76,B,Ship,4,1,266,3,low,F,23,3775,1,Yes,100.0
77,C,Ship,2,3,158,2,medium,F,36,1788,1,Yes,99.8
78,F,Ship,3,3,113,3,low,F,43,1518,1,Yes,99.9
79,D,Ship,3,4,223,3,low,M,18,3959,1,Yes,100.0
80,F,Ship,3,5,257,2,medium,F,56,3711,1,Yes,100.0
81,A,Ship,3,4,180,2,medium,F,49,1942,1,Yes,99.9
82,B,Ship,2,5,132,3,low,M,18,1759,1,Yes,99.8
83,C,Ship,4,4,217,3,high,F,26,2875,1,Yes,100.0
84,F,Ship,5,5,162,3,high,F,31,1364,1,Yes,99.8
85,D,Ship,4,5,197,2,medium,F,40,2710,1,Yes,100.0
86,F,Ship,3,4,197,3,medium,M,13,2148,1,Yes,100.0
87,A,Ship,4,1,185,2,low,M,44,2910,1,Yes,100.0
88,B,Ship,6,2,278,3,medium,F,3,2974,1,Yes,90.0
89,C,Ship,3,3,229,3,low,M,49,2339,1,Yes,100.0
90,F,Ship,4,1,186,4,medium,F,57,3880,1,Yes,100.0
91,D,Ship,5,3,174,6,high,F,41,1085,1,Yes,99.5
92,F,Ship,5,5,286,3,low,F,18,3163,1,Yes,100.0
93,A,Ship,4,4,175,2,medium,F,7,1188,1,Yes,81.5
94,B,Ship,3,3,219,3,medium,F,17,3387,1,Yes,100.0
95,C,Ship,4,1,213,4,high,F,35,2343,1,Yes,100.0
96,F,Ship,2,3,235,3,low,M,57,2034,1,Yes,100.0
97,D,Ship,3,3,149,2,medium,M,18,1225,1,Yes,99.9
98,F,Ship,4,1,271,2,medium,F,8,2401,1,Yes,92.4
99,A,Ship,3,5,144,4,medium,M,5,1104,1,Yes,54.5
100,B,Ship,4,2,145,2,medium,M,21,1617,1,Yes,99.8
101,C,Ship,5,3,143,2,medium,M,59,1837,1,Yes,99.7
102,F,Ship,5,5,227,4,low,M,53,2624,1,Yes,100.0
103,D,Ship,2,1,213,3,low,M,29,2732,1,Yes,100.0
104,F,Ship,5,1,144,4,low,M,37,1658,1,Yes,99.5
105,A,Ship,3,3,218,3,low,M,3,2255,1,Yes,93.7
106,B,Ship,4,2,144,3,medium,M,59,1588,1,Yes,99.8
107,C,Ship,3,1,238,3,low,M,17,2624,1,Yes,100.0
108,F,Ship,4,5,216,3,high,M,26,2053,1,Yes,100.0
109,D,Ship,4,5,238,3,high,F,55,3257,1,Yes,100.0
110,F,Ship,4,1,141,3,medium,M,47,1250,1,Yes,99.8
111,A,Road,3,1,158,2,low,M,2,1284,1,Yes,82.9
112,B,Road,4,2,239,3,low,F,65,3679,1,Yes,100.0
113,C,Road,4,3,175,2,low,M,25,1816,1,Yes,99.8
114,F,Road,3,2,263,3,low,M,41,2817,1,Yes,100.0
115,D,Road,3,5,168,2,high,M,50,1616,1,Yes,99.9
116,F,Road,3,4,176,3,high,M,36,1779,1,Yes,99.8
117,A,Road,4,1,150,4,high,M,60,1024,1,Yes,99.5
118,B,Road,4,3,265,2,medium,F,31,2326,1,Yes,100.0
119,C,Road,2,5,263,3,low,F,5,2947,1,Yes,93.4
120,F,Road,5,1,145,3,low,M,20,1387,1,Yes,99.8
121,D,Road,4,2,183,3,low,F,33,2741,1,Yes,100.0
122,F,Road,3,3,205,3,medium,F,19,2167,1,Yes,100.0
123,A,Road,4,2,160,3,low,M,64,1714,1,Yes,99.8
124,B,Road,3,3,252,2,medium,F,48,2102,1,Yes,100.0
125,C,Road,5,5,222,3,low,M,10,2280,1,Yes,94.2
126,F,Road,3,3,203,2,low,M,25,3607,1,Yes,100.0
127,D,Road,4,5,220,3,medium,M,40,3516,1,Yes,100.0
128,F,Road,3,3,147,4,low,F,60,1722,1,Yes,99.7
129,A,Road,4,4,200,4,medium,M,16,2060,1,Yes,100.0
130,B,Road,4,5,224,4,medium,M,21,2026,1,Yes,100.0
131,C,Road,3,5,179,2,low,F,17,1364,1,Yes,99.9
132,F,Road,3,4,144,3,low,M,50,1865,1,Yes,99.9
133,D,Flight,5,2,247,3,low,M,17,3889,1,Yes,100.0
134,F,Flight,5,4,280,6,medium,F,51,3582,1,Yes,100.0
135,A,Flight,3,3,168,2,medium,F,1,1829,1,Yes,83.1
136,B,Flight,3,5,157,3,medium,F,4,1889,1,Yes,85.6
137,C,Flight,3,3,189,4,medium,F,51,2208,1,Yes,100.0
138,F,Flight,3,5,162,2,medium,M,7,1739,1,Yes,83.2
139,D,Flight,4,1,207,5,low,M,48,2399,1,Yes,100.0
140,F,Flight,5,1,237,2,low,F,10,3860,1,Yes,91.9
141,A,Flight,4,4,264,3,high,M,59,2020,1,Yes,100.0
142,B,Flight,5,4,149,3,low,M,51,1645,1,Yes,99.8
143,C,Flight,5,5,162,3,low,M,41,1462,1,Yes,99.8
144,F,Flight,2,1,205,4,medium,F,63,2156,1,Yes,100.0
145,D,Flight,2,1,158,3,medium,F,51,1540,1,Yes,99.8
146,F,Flight,2,2,248,2,low,M,46,3707,1,Yes,100.0
147,A,Flight,3,5,191,3,low,M,23,3750,1,Yes,100.0
148,B,Flight,4,3,146,4,medium,F,24,1844,1,Yes,99.5
149,C,Flight,3,3,135,3,low,M,56,1490,1,Yes,99.9
150,F,Flight,5,1,149,3,low,M,40,1062,1,Yes,99.7
151,D,Flight,4,4,220,2,medium,F,7,2551,1,Yes,93.0
152,F,Flight,5,3,98,5,medium,M,44,1269,1,Yes,99.5
153,A,Flight,3,4,97,4,low,M,32,1238,1,Yes,99.7
154,B,Flight,3,3,183,2,low,M,53,3932,1,Yes,100.0
155,C,Ship,3,3,162,3,medium,F,8,1869,1,Yes,85.1
156,F,Ship,5,1,114,4,low,F,47,1443,1,Yes,99.5
157,D,Ship,6,3,275,5,low,M,41,2491,1,Yes,100.0
158,F,Ship,3,2,203,2,medium,F,39,3845,1,Yes,100.0
159,A,Ship,5,5,205,2,high,M,65,3671,1,Yes,100.0
160,B,Ship,3,3,149,3,low,F,63,1946,1,Yes,99.9
161,C,Ship,2,2,112,4,medium,M,56,1138,1,Yes,99.7
162,F,Ship,3,1,207,3,medium,F,56,3482,1,Yes,100.0
163,D,Ship,4,1,261,4,low,F,58,3427,1,Yes,100.0
164,F,Ship,5,2,274,3,medium,M,6,3375,1,Yes,94.7
165,A,Ship,3,5,141,2,low,M,52,1692,1,Yes,99.9
166,B,Ship,3,3,166,4,medium,F,17,1498,1,Yes,99.7
167,C,Ship,5,2,141,3,high,F,34,1020,1,Yes,99.7
168,F,Ship,4,5,152,3,low,M,43,1709,1,Yes,99.8
169,D,Ship,4,2,250,3,low,F,53,2478,1,Yes,100.0
170,F,Ship,4,3,161,3,medium,F,28,1809,1,Yes,99.8
171,A,Ship,4,3,185,3,medium,F,10,2263,1,Yes,93.8
172,B,Ship,4,4,176,4,high,F,52,1096,1,Yes,99.5
173,C,Ship,3,4,148,3,low,M,56,1550,1,Yes,99.9
174,F,Ship,3,2,270,3,low,F,63,2751,1,Yes,100.0
175,D,Ship,3,3,242,3,low,F,51,3935,1,Yes,100.0
176,F,Ship,4,4,150,2,medium,M,3,1285,1,Yes,80.6
177,A,Ship,4,5,192,3,high,M,20,3872,1,Yes,100.0
178,B,Ship,4,5,116,3,medium,M,54,1314,1,Yes,99.8
179,C,Ship,3,3,192,3,medium,F,2,3995,1,Yes,85.1
180,F,Ship,5,5,255,4,medium,M,3,3440,1,Yes,73.9
181,D,Ship,4,1,161,7,medium,F,18,1294,1,Yes,99.5
182,F,Ship,4,5,157,3,low,M,20,1487,1,Yes,99.8
183,A,Ship,3,2,164,10,high,F,28,1940,1,Yes,99.8
184,B,Ship,3,5,162,7,medium,F,16,1052,1,Yes,99.8
185,C,Ship,3,3,146,2,low,M,50,1486,1,Yes,99.9
186,F,Ship,3,2,209,3,medium,M,54,3001,1,Yes,100.0
187,D,Ship,5,4,134,2,medium,F,55,1386,1,Yes,99.7
188,F,Ship,2,1,222,2,medium,M,5,3778,1,Yes,92.3
189,A,Ship,2,5,139,3,low,F,27,1233,1,Yes,99.8
190,B,Ship,2,4,134,3,low,F,42,1415,1,Yes,99.8
191,C,Ship,2,5,130,3,low,M,16,1092,1,Yes,99.8
192,F,Ship,2,5,133,3,low,F,62,1596,1,Yes,99.8
193,D,Ship,2,4,140,3,low,F,7,1411,1,Yes,84.8
194,F,Ship,2,2,158,3,low,M,28,1968,1,Yes,99.8
195,A,Ship,4,2,270,4,low,F,46,1736,1,Yes,99.5
196,B,Ship,2,5,140,3,low,F,30,1030,1,Yes,99.8
197,C,Ship,2,2,135,3,low,M,15,1339,1,Yes,99.8
198,F,Ship,2,3,136,3,low,F,19,1568,1,Yes,99.8
199,D,Ship,2,3,142,3,medium,F,38,7640,1,Yes,94.8
200,F,Ship,2,2,154,3,medium,M,38,7846,1,Yes,94.8
201,A,Ship,2,3,139,3,low,M,9,1471,1,Yes,84.3
202,B,Ship,2,3,160,3,low,F,43,1251,1,Yes,99.8
203,C,Ship,2,4,134,3,low,M,58,1067,1,Yes,99.8
204,F,Ship,5,3,161,5,high,M,48,1883,1,Yes,99.5
205,D,Ship,2,5,155,3,low,M,23,1602,1,Yes,99.8
206,F,Ship,2,3,145,3,medium,F,24,7588,1,Yes,94.8
207,A,Ship,2,2,157,3,low,M,1,1477,1,Yes,83.5
208,B,Ship,2,2,160,3,low,M,48,1691,1,Yes,99.8
209,C,Ship,2,4,152,3,low,M,55,1498,1,Yes,99.8
210,F,Ship,2,5,148,3,high,F,11,1502,1,Yes,99.8
211,D,Ship,2,1,127,3,low,F,15,1522,1,Yes,99.8
212,F,Ship,2,5,154,3,low,F,21,1113,1,Yes,99.8
213,A,Ship,2,5,127,3,low,M,44,1341,1,Yes,99.8
214,B,Ship,2,5,160,3,medium,F,31,7401,1,Yes,94.8
215,C,Ship,2,4,129,3,low,F,48,1219,1,Yes,99.8
216,F,Ship,2,5,158,3,low,F,40,1722,1,Yes,99.8
217,D,Ship,4,3,185,3,medium,M,3,3131,1,Yes,93.0
218,F,Ship,4,4,176,4,high,F,63,1293,1,Yes,99.5
219,A,Ship,3,4,148,3,low,M,37,1523,1,Yes,99.9
220,B,Ship,3,5,270,3,low,M,60,3885,1,Yes,100.0
221,C,Ship,3,4,242,3,low,M,29,2381,1,Yes,100.0
222,F,Ship,4,3,150,2,medium,M,31,1588,1,Yes,99.8
223,D,Ship,4,2,192,3,high,M,4,2061,1,Yes,93.3
224,F,Ship,4,5,116,3,medium,F,9,1314,1,Yes,83.1
225,A,Ship,3,4,192,3,medium,F,31,3331,1,Yes,100.0
226,B,Ship,5,4,255,4,medium,F,38,2771,1,Yes,100.0
227,C,Ship,4,3,161,7,medium,M,63,1496,1,Yes,99.5
228,F,Ship,4,2,157,3,low,F,48,1393,1,Yes,99.8
229,D,Ship,3,2,164,10,high,M,14,1375,1,Yes,99.8
230,F,Ship,3,3,162,7,medium,F,42,1278,1,Yes,99.8
231,A,Ship,3,1,146,2,low,F,54,1528,1,Yes,99.9
232,B,Ship,3,4,209,3,medium,F,60,2240,1,Yes,100.0
233,C,Ship,5,5,134,2,medium,M,53,1088,1,Yes,99.7
234,F,Ship,2,1,222,2,medium,M,58,3626,1,Yes,100.0
235,D,Ship,2,1,139,3,low,F,39,1582,1,Yes,99.8
236,F,Ship,2,2,134,3,low,M,38,1352,1,Yes,99.8
237,A,Ship,2,3,130,3,low,F,48,1801,1,Yes,99.8
238,B,Ship,2,2,133,3,low,M,5,1268,1,Yes,85.0
239,C,Ship,2,3,140,3,low,F,23,1372,1,Yes,99.8
240,F,Ship,2,3,158,3,low,M,10,1515,1,Yes,86.3
241,D,Ship,4,5,270,4,low,M,65,1818,1,Yes,99.5
242,F,Ship,2,4,140,3,low,F,33,1278,1,Yes,99.8
243,A,Ship,2,2,135,3,low,M,58,1734,1,Yes,99.8
244,B,Ship,2,4,136,3,low,M,43,1958,1,Yes,99.8
245,C,Ship,2,1,142,3,medium,F,8,6064,1,Yes,52.6
246,F,Ship,2,4,154,3,medium,F,48,7684,1,Yes,94.8
247,D,Ship,2,3,139,3,low,F,3,1788,1,Yes,84.4
248,F,Road,2,4,160,3,low,F,50,1030,1,Yes,99.8
249,A,Road,2,2,134,3,low,F,38,1530,1,Yes,99.8
250,B,Road,5,5,161,5,high,F,54,1511,1,Yes,99.5
251,C,Road,2,3,155,3,low,F,45,1639,1,Yes,99.8
252,F,Road,2,2,145,3,medium,F,5,6102,1,Yes,51.0
253,D,Road,2,1,157,3,low,M,58,1930,1,Yes,99.8
254,F,Road,2,5,160,3,low,F,19,1399,1,Yes,99.8
255,A,Road,2,2,152,3,low,F,61,1800,1,Yes,99.8
256,B,Road,2,2,148,3,high,F,35,1349,1,Yes,99.8
257,C,Road,2,2,127,3,low,M,13,1128,1,Yes,99.8
258,F,Road,2,2,129,3,medium,F,22,6614,1,Yes,93.7
259,D,Road,2,3,158,3,low,F,13,1245,1,Yes,99.8
260,F,Road,2,4,147,3,low,M,5,1920,1,Yes,85.5
261,A,Road,2,5,159,3,low,F,49,1621,1,Yes,99.8
262,B,Road,2,3,151,3,low,F,23,1930,1,Yes,99.8
263,C,Road,3,1,294,4,low,F,52,1089,1,Yes,99.7
264,F,Road,3,2,226,2,medium,M,45,1446,1,Yes,99.9
265,D,Road,5,3,271,5,high,M,9,1813,1,No,45.4
266,F,Road,7,2,203,5,medium,F,61,1856,1,Yes,99.5
267,A,Road,2,3,264,4,low,F,10,1648,1,Yes,55.1
268,B,Road,4,1,258,3,medium,M,36,2211,1,Yes,100.0
269,C,Road,3,5,241,3,low,F,21,3078,1,Yes,100.0
270,F,Flight,4,5,208,3,medium,M,23,2056,1,Yes,100.0
271,D,Flight,3,2,209,5,medium,F,12,3054,1,Yes,100.0
272,F,Flight,5,1,182,2,medium,F,23,2707,1,Yes,100.0
273,A,Flight,4,5,148,2,medium,F,43,1087,1,Yes,99.8
274,B,Flight,2,3,183,2,medium,F,52,3199,1,Yes,100.0
275,C,Flight,3,5,229,6,medium,M,22,2717,1,Yes,100.0
276,F,Flight,5,5,115,5,low,F,26,1692,1,Yes,99.5
277,D,Flight,4,2,136,3,low,F,65,1962,1,Yes,99.8
278,F,Flight,4,4,212,3,low,M,21,3307,1,Yes,100.0
279,A,Flight,4,3,171,3,low,F,24,1304,1,Yes,99.8
280,B,Flight,3,1,151,2,low,M,60,1925,1,Yes,99.9
281,C,Flight,3,1,205,3,medium,M,39,3062,1,Yes,100.0
282,F,Flight,5,4,147,3,medium,M,23,1132,1,Yes,99.7
283,D,Flight,3,3,155,3,low,F,29,1712,1,Yes,99.8
284,F,Flight,5,4,165,3,low,F,20,1150,1,Yes,99.7
285,A,Flight,5,5,230,3,low,F,32,3249,1,Yes,100.0
286,B,Flight,2,4,181,4,medium,M,13,2309,1,Yes,100.0
287,C,Flight,5,3,234,2,low,F,55,3308,1,Yes,100.0
288,F,Flight,4,4,149,3,low,M,34,1977,1,Yes,99.8
289,D,Flight,5,5,156,2,low,M,44,1561,1,Yes,99.7
290,F,Flight,4,2,172,3,medium,F,59,1858,1,Yes,99.8
291,A,Flight,4,4,270,3,low,M,12,3279,1,Yes,100.0
292,B,Ship,4,1,206,3,medium,M,23,3807,1,Yes,100.0
293,C,Ship,4,3,211,4,medium,M,40,3106,1,Yes,100.0
294,F,Ship,3,2,136,4,low,M,62,1090,1,Yes,99.7
295,D,Ship,5,1,186,2,high,F,52,3981,1,Yes,100.0
296,F,Ship,3,1,202,2,medium,M,62,3398,1,Yes,100.0
297,A,Ship,4,2,183,3,medium,F,12,3646,1,Yes,100.0
298,B,Ship,4,4,232,2,low,M,36,2861,1,Yes,100.0
299,C,Ship,4,2,147,4,medium,M,52,1129,1,Yes,99.5
300,F,Ship,4,3,136,3,medium,M,20,1531,1,Yes,99.8
301,D,Ship,5,3,127,3,low,F,43,1446,1,Yes,99.8
302,F,Ship,4,5,202,2,medium,M,35,3695,1,Yes,100.0
303,A,Ship,3,4,241,2,low,M,57,3671,1,Yes,100.0
304,B,Ship,4,3,222,2,medium,M,55,3833,1,Yes,100.0
305,C,Ship,3,2,183,4,medium,F,12,2777,1,Yes,100.0
306,F,Ship,4,4,249,3,medium,F,36,3769,1,Yes,100.0
307,D,Ship,3,1,243,4,high,M,59,3838,1,Yes,100.0
308,F,Ship,3,3,163,3,medium,M,9,1257,1,Yes,85.0
309,A,Ship,4,2,165,2,high,M,11,1596,1,Yes,99.8
310,B,Ship,5,5,266,3,medium,F,53,3089,1,Yes,100.0
311,C,Ship,3,4,193,2,medium,M,48,3909,1,Yes,100.0
312,F,Ship,3,2,154,3,low,F,56,1136,1,Yes,99.9
313,D,Ship,3,3,140,3,medium,M,51,1046,1,Yes,99.9
314,F,Ship,4,3,272,3,medium,M,38,3705,1,Yes,100.0
315,A,Ship,4,2,143,6,medium,M,20,1654,1,Yes,99.0
316,B,Ship,4,2,138,3,low,F,30,1805,1,Yes,99.8
317,C,Ship,4,2,238,2,high,M,17,3358,1,Yes,100.0
318,F,Ship,4,5,273,4,medium,F,31,2373,1,Yes,100.0
319,D,Ship,3,1,200,2,medium,M,27,2551,1,Yes,100.0
320,F,Ship,4,5,213,4,low,M,39,2381,1,Yes,100.0
321,A,Ship,3,4,224,2,medium,F,15,2701,1,Yes,100.0
322,B,Ship,4,5,141,3,medium,M,12,1672,1,Yes,99.8
323,C,Ship,3,3,150,3,low,M,46,1040,1,Yes,99.9
324,F,Ship,3,1,192,2,low,M,33,2818,1,Yes,100.0
325,D,Ship,5,1,279,4,medium,F,24,3440,1,Yes,100.0
326,F,Ship,3,4,246,3,medium,M,30,3748,1,Yes,100.0
327,A,Ship,3,4,173,3,medium,M,52,1587,1,Yes,99.9
328,B,Ship,4,4,233,4,medium,F,59,2358,1,Yes,100.0
329,C,Ship,5,1,274,2,medium,M,24,2423,1,Yes,100.0
330,F,Ship,4,5,243,4,medium,F,41,2782,1,Yes,100.0
331,D,Ship,3,4,197,3,medium,F,56,3427,1,Yes,100.0
332,F,Ship,4,3,140,3,high,F,46,1072,1,Yes,99.8
333,A,Ship,3,5,215,3,medium,F,22,2585,1,Yes,100.0
334,B,Ship,3,4,211,3,medium,M,8,3710,1,Yes,93.4
335,C,Ship,4,2,220,5,low,M,33,2854,1,Yes,100.0
336,F,Ship,3,1,194,4,low,M,64,2026,1,Yes,100.0
337,D,Ship,5,1,262,3,medium,F,58,3599,1,Yes,100.0
338,F,Ship,4,4,201,2,low,F,1,3147,1,Yes,92.1
339,A,Ship,3,5,261,3,medium,M,15,2989,1,Yes,100.0
340,B,Ship,4,4,191,6,low,F,60,3425,1,Yes,100.0
341,C,Ship,2,5,255,5,medium,F,53,3775,1,Yes,100.0
342,F,Ship,3,2,169,2,high,M,30,1698,1,Yes,99.8
343,D,Ship,4,5,162,2,medium,M,64,1918,1,Yes,99.8
344,F,Ship,2,5,248,6,low,F,62,2750,1,Yes,100.0
345,A,Ship,5,3,197,4,low,F,2,2222,1,Yes,73.9
346,B,Ship,5,1,264,3,low,M,6,2882,1,Yes,94.7
347,C,Ship,5,5,260,2,medium,F,55,2791,1,Yes,100.0
348,F,Ship,5,3,186,2,medium,F,58,2259,1,Yes,100.0
349,D,Ship,4,5,233,4,low,F,44,2551,1,Yes,100.0
350,F,Ship,5,1,161,3,low,M,47,1954,1,Yes,99.9
351,A,Ship,4,5,188,3,low,F,13,2409,1,Yes,100.0
352,B,Ship,5,5,171,2,medium,F,22,1695,1,Yes,99.7
353,C,Ship,2,2,267,3,medium,M,15,2481,1,Yes,100.0
354,F,Ship,4,3,255,2,high,M,47,2956,1,Yes,100.0
355,D,Ship,3,2,132,3,low,F,56,1303,1,Yes,99.9
356,F,Ship,5,1,266,3,low,F,31,3157,1,Yes,100.0
357,A,Ship,3,4,198,2,low,M,25,2774,1,Yes,100.0
358,B,Ship,2,3,247,2,medium,F,62,3127,1,Yes,100.0
359,C,Ship,3,1,140,3,medium,F,65,1291,1,Yes,99.9
360,F,Ship,4,3,131,5,low,M,6,1659,1,No,46.4
361,D,Ship,5,2,246,3,medium,M,49,3236,1,Yes,100.0
362,F,Ship,3,2,159,3,medium,F,4,1681,1,Yes,85.3
363,A,Ship,3,5,203,2,medium,M,61,3642,1,Yes,100.0
364,B,Ship,4,3,187,4,high,F,29,3141,1,Yes,100.0
365,C,Ship,6,2,146,3,low,F,62,1936,1,Yes,99.8
366,F,Ship,3,2,234,3,medium,M,39,2099,1,Yes,100.0
367,D,Ship,3,4,122,3,high,F,15,1354,1,Yes,99.9
368,F,Ship,3,3,135,3,low,M,8,1074,1,Yes,82.5
369,A,Ship,3,5,103,3,low,M,3,1403,1,Yes,85.1
370,B,Ship,3,5,257,3,medium,F,19,2173,1,Yes,100.0
371,C,Ship,4,3,169,2,low,M,2,1399,1,Yes,80.7
372,F,Ship,4,5,159,3,medium,M,18,1808,1,Yes,99.8
373,D,Ship,4,5,188,3,low,M,38,3031,1,Yes,100.0
374,F,Ship,5,1,136,3,medium,M,19,1420,1,Yes,99.8
375,A,Ship,5,1,227,3,low,F,19,3007,1,Yes,100.0
376,B,Ship,3,5,262,2,low,F,53,3275,1,Yes,100.0
377,C,Ship,2,3,157,2,low,M,45,1965,1,Yes,99.9
378,F,Ship,5,3,238,2,medium,F,21,2053,1,Yes,100.0
379,D,Ship,3,5,152,3,low,M,43,1282,1,Yes,99.9
380,F,Ship,3,2,201,3,medium,M,5,2040,1,Yes,94.3
381,A,Ship,3,4,148,2,low,M,54,1778,1,Yes,99.8
382,B,Ship,5,2,199,4,low,F,59,2885,1,Yes,100.0
383,C,Ship,5,4,215,2,low,F,45,3501,1,Yes,100.0
384,F,Ship,4,5,175,2,low,M,40,1270,1,Yes,99.8
385,D,Road,4,3,236,2,high,M,23,3123,1,Yes,100.0
386,F,Road,2,5,182,2,medium,F,57,2896,1,Yes,100.0
387,A,Road,3,1,251,3,medium,M,42,3698,1,Yes,100.0
388,B,Road,5,2,173,3,low,F,7,1855,1,Yes,82.3
389,C,Road,4,3,225,3,low,F,62,2587,1,Yes,100.0
390,F,Road,4,2,167,4,low,F,20,1705,1,Yes,99.5
